id,name,lat,long,total_station_size
1,Adriano,45.070665,7.65597,12
2,Arbarello,45.07356,7.676585,20
3,Arcivescovado,45.06706,7.678175,15
4,Baretti,45.057635,7.681255,15
5,Bava,45.06909,7.70193,17
6,Belfiore,45.054245,7.678395,15
7,Belgio 2,45.07327,7.71714,20
8,Berlinguer,45.09965,7.53123,7
9,Bernini,45.076155,7.655555,15
10,Bertola,45.06982,7.68231,14
11,Bodoni,45.06336,7.684215,15
12,Bologna,45.082445,7.695695,16
13,Bolzano,45.07139,7.66669,16
14,Borgo,45.05636,7.58099,10
15,Borromini,45.06716,7.70837,15
16,Buozzi,45.12583,7.64219,10
17,C. Commerciale I Portici,45.12418,7.63204,10
18,Cairoli,45.058795,7.690355,18
19,Carducci,45.042565,7.6709,19
20,Carlo Alberto,45.068045,7.686665,15
21,Carrara,45.069155,7.720385,18
22,Castelfidardo,45.068215,7.66238,27
23,Castello 1,45.07142,7.688095,16
24,Castello 2,45.070125,7.686495,21
25,Cernaia,45.072645,7.67026,14
26,Certosa / P.le Avis,45.08412,7.57563,5
27,Cimitero Monumentale,45.078835,7.701395,15
28,CLN,45.06609,7.682205,14
29,Concordia,45.1169,7.623,10
30,Consolata,45.07579,7.678,15
31,Corso Garibaldi,45.1278,7.63579,10
32,Corte d'Appello,45.0744,7.67885,14
33,Dalla Chiesa / Pastrengo,45.07764,7.58082,10
34,Dante,45.04764,7.67267,9
35,De Amicis,45.046765,7.67303,14
36,De Gasperi,45.05709,7.66125,16
37,Dora Firenze,45.07945,7.689225,15
38,Dora Siena 1,45.074885,7.70223,18
39,Europa Unita,45.09064,7.57013,6
40,Fabbrichetta,45.06751,7.56305,7
41,Fermi,45.07603,7.59112,19
42,Ferrucci,45.063845,7.655815,15
43,Filadelfia,45.0371733333,7.64884,15
44,Fiume,45.05803,7.693525,13
45,Galileo Ferraris 1,45.055305,7.663955,15
46,Galileo Ferraris 2,45.056685,7.66447,13
47,Galileo Ferraris 3,45.059595,7.66693,15
48,Galileo Ferraris 4,45.06373,7.66944,24
49,Galileo Ferraris 5,45.06682,7.671465,15
50,Galileo Ferraris 6,45.04266,7.654895,18
51,Galimberti,45.03308,7.656515,15
52,Gallo Praile,45.11482,7.64131,10
53,Gerbido,45.0444,7.61762,10
54,Giambone,45.033055,7.647035,17
55,Giardini Cavour,45.06315,7.688885,15
56,Giolitti 1,45.066485,7.683675,17
57,Giolitti 2,45.0641,7.69046,17
58,Giordano Bruno,45.04426,7.664095,20
59,Giulia di Barolo,45.067405,7.6968,14
60,Gramsci,45.0727,7.5803,6
61,Gran Madre,45.06298,7.6985,12
62,Inghilterra 1,45.07287,7.66574,14
63,IV Marzo,45.0733266667,7.68228,23
64,Lagrange,45.06344,7.68087,15
65,Largo Oropa,45.1361,7.57636,7
66,Le Serre,45.06313,7.57683,7
67,Lesna,45.05863,7.62037,7
68,Leumann,45.07233,7.56176,10
69,Lingotto Fiere,45.03105,7.666585,22
70,Lione,45.05993,7.65636,14
71,Livorno,45.087155,7.669775,18
72,Livorno 2,45.087035,7.669265,17
73,Lungo Po Cadorna,45.06549,7.69871,15
74,Lupo,45.06566,7.57905,7
75,Madama Cristina,45.047315,7.6758,18
76,Marconi 1,45.05546,7.68267,13
77,Maria Vittoria,45.065135,7.692285,15
78,Matteotti 1,45.066305,7.674805,15
79,Matteotti 2,45.067975,7.67032,13
80,Matteotti 3,45.068805,7.66785,24
81,Mauriziano 1,45.05012,7.66574,14
82,Mauriziano 2,45.05167,7.663495,15
83,Metro Paradiso,45.07373,7.6018,10
84,Meucci,45.06922,7.67609,19
85,Molinette 1,45.042325,7.67319,28
86,Molinette 2,45.04275,7.67749,15
87,Montevideo,45.037045,7.6517,28
88,Municipio,45.07746,7.56955,8
89,Municipio,45.09438,7.52432,7
90,Municipio,45.1331,7.63253,13
91,Murazzi,45.06193,7.693955,15
92,Nizza 1,45.057085,7.67681,20
93,Nizza 2,45.05426,7.675595,18
94,Nizza 3,45.03574,7.66866,14
95,O.G.R.,45.066655,7.66182,19
96,Orbassano,45.05312,7.655695,16
97,Padova,45.0791,7.698425,15
98,Paleocapa,45.064155,7.67881,17
99,Paravia,45.077575,7.67035,15
100,Pettiti,45.12989,7.63129,10
101,Piazza Carlina,45.06678,7.68892,0
102,Piazza d'Armi,45.048125,7.65839,15
103,Piazza Nizza,45.051615,7.67435,21
104,Pietro Micca,45.070515,7.682285,15
105,Pio VII,45.024985,7.65212,12
106,Pio VII 2,45.029465,7.65476,16
107,Politecnico 1,45.062365,7.6625,20
108,Politecnico 2,45.062295,7.663065,18
109,Politecnico 3,45.060735,7.661295,14
110,Politecnico 4,45.063945,7.65998,15
111,Porta Nuova 1,45.06301,7.678915,27
112,Porta Nuova 2,45.06285,7.679315,27
113,Porta Palatina,45.07395,7.664,14
114,Porta Susa 1,45.07301,7.66789,17
115,Porta Susa 2,45.07344,7.668165,18
116,Principi d'Acaja 1,45.07318,7.66227,15
117,Principi d'Acaja 2,45.07606,7.664295,13
118,Raffaello,45.051585,7.67832,15
119,RAI,45.06891,7.691165,15
120,Re Umberto,45.059545,7.670615,15
121,Re Umberto 2,45.05602,7.6681,15
122,Reggia,45.13532,7.62569,7
123,Regina Margherita 1,45.06957,7.705755,15
124,Regina Margherita 2,45.072345,7.6972,15
125,Regina Margherita 3,45.07361,7.692735,15
126,Regina Margherita 4,45.0746,7.690325,17
127,Regio Parco,45.076855,7.69421,14
128,Rigola,45.12031,7.64856,10
129,Risorgimento,45.07965,7.65217,16
130,San Francesco da Paola,45.068605,7.68908,15
131,San Marchese,45.12489,7.65296,10
132,San Maurizio,45.071935,7.69261,26
133,Sant'Anselmo,45.059665,7.681385,20
134,Savonera,45.11572,7.61373,10
135,Sebastopoli,45.03977,7.660835,15
136,Solferino 2,45.0682433333,7.6761933333,12
137,Sommeiller,45.05526,7.671755,13
138,Spezia 1,45.036345,7.67507,18
139,Stati Uniti 1,45.064865,7.664785,15
140,Statuto 2,45.076245,7.67166,16
141,Stazione F.S.,45.07894,7.57438,14
142,Stazione Ferroviaria Paradiso,45.06829,7.59957,10
143,Torino Esposizioni,45.050475,7.68118,15
144,Tortona,45.071645,7.707645,16
145,Tribunale,45.07084,7.66127,0
146,Turati,45.048,7.66379,15
147,Umbria,45.08306,7.669555,8
148,Universita',45.06479,7.58807,14
149,Universita' 1,45.068515,7.6944,20
150,Universita'3,45.06758,7.6917133333,15
151,Valdo Fusi,45.064665,7.6863,15
152,Valdocco,45.07809,7.675715,15
153,Valdocco 2,45.075335,7.67372,15
154,Valentino 1,45.059145,7.68805,15
155,Valentino 2,45.054875,7.68553,14
156,Ventimiglia,45.03274,7.671595,15
157,Villa Claretta,45.06171,7.58118,10
158,Vittorio Emanuele II 1,45.067005,7.66664,20
159,Vittorio Emanuele II 2,45.06755,7.665805,12
160,Vittorio Emanuele II 3,45.06454,7.67381,18
161,Vittorio Emanuele II 4,45.061735,7.6821,16
162,Vittorio Emanuele II 5,45.06061,7.684455,16
163,Vittorio Emanuele II 6,45.063795,7.67626,18
164,Vittorio Veneto 2,45.06518,7.693675,15
165,XI Febbraio,45.07692,7.68738,15
